"pattern","kruskal_time_stat","kruskal_time_p","eta_timepoint","eta_broad_cell_type","pattern_class","spearman_ifn_score_rho","spearman_ifn_score_p","peak_timepoint","ifn_top_gene_overlap_top15","candidate_ifn_pattern","kruskal_time_p_adj","ifn_score_p_adj"
"Pattern2",56.170247007567,8.73693783406229e-10,0.0127874160903978,0.729341017475296,"identity-like",0.311443036303951,1.84423423152437e-108,"D14/15",0,FALSE,2.18423445851557e-09,9.22117115762184e-108
"Pattern3",105.424077040175,8.15341066810762e-20,0.00975805958524649,0.934257251681129,"identity-like",0.112692421802228,4.86008321251169e-15,"D10",0,FALSE,4.07670533405381e-19,8.10013868751948e-15
"Pattern4",52.2856219063498,5.12860752736353e-09,0.00918499709666776,0.11469655956863,"identity-like",-0.125795815857998,2.17379944535875e-18,"D6",0,FALSE,8.54767921227254e-09,5.43449861339688e-18
"Pattern5",11.8311993348276,0.106248412586071,0.00647730814556005,0.895539094329544,"identity-like",-0.0803290274757834,2.50510250660555e-08,"D0",0,FALSE,0.106248412586071,3.13137813325694e-08
"Pattern1",15.7259998951554,0.027741013957635,0.00441401930779167,0.60822797447609,"identity-like",-0.00262020619525785,0.855985931269988,"D14/15",0,FALSE,0.0346762674470437,0.855985931269988
