"timepoint_merged","day_merged_numeric","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5"
"D0",0,0.317568723795221,0.111895609439061,0.134767227462459,0.308701258896422,0.111025164888144
"D2",2,0.328403313053178,0.141191368539392,0.107694447111587,0.33082905800841,0.0722002520275248
"D4",4,0.319101336631048,0.132767032190369,0.0904548203848018,0.280005226890303,0.0968215768958216
"D6",6,0.30977924726762,0.142440581495893,0.0845027173635241,0.33153092216805,0.0931842910745983
"D8",8,0.312110902926077,0.148253118196109,0.109729031924406,0.293567716840427,0.0892973660654893
"D10",10,0.275382747511934,0.17130588135215,0.151922854946856,0.255418011720381,0.0813315075936729
"D14/15",14.5,0.33538833830418,0.197141808082145,0.14694945040308,0.292106929456489,0.0560736610785016
"D28",28,0.299329704928515,0.13817373015263,0.0982247493406311,0.290479352876987,0.0841075970134348
