"pattern","rank","gene","weight"
"Pattern3",34,"SRGN",2.88189625740051
"Pattern3",35,"RPS12",2.8442759513855
"Pattern3",36,"HLA-A",2.84280872344971
"Pattern3",37,"HLA-DRB1",2.78437232971191
"Pattern3",38,"CTSS",2.76618003845215
"Pattern3",39,"HLA-DRA",2.75854969024658
"Pattern3",40,"MT-ND4",2.73744010925293
"Pattern3",41,"AIF1",2.71114635467529
"Pattern3",42,"RPS8",2.6920063495636
"Pattern3",43,"MT-ND2",2.68421626091003
"Pattern3",44,"H3F3A",2.64680171012878
"Pattern3",45,"H3F3B",2.63757300376892
"Pattern3",46,"CYBA",2.54994034767151
"Pattern3",47,"FCN1",2.50654363632202
"Pattern3",48,"TSPO",2.49827599525452
"Pattern3",49,"GABARAP",2.47588276863098
"Pattern3",50,"GPX1",2.45365691184998
"Pattern4",1,"FTH1",4.62446117401123
"Pattern4",2,"MALAT1",3.94814705848694
"Pattern4",3,"SRGN",3.65406274795532
"Pattern4",4,"MT-CO1",3.41827750205994
"Pattern4",5,"EEF1A1",3.25413990020752
"Pattern4",6,"MT-CO2",3.12440371513367
"Pattern4",7,"B2M",3.11180186271667
"Pattern4",8,"PTMA",3.08697557449341
"Pattern4",9,"RPS12",2.94626402854919
"Pattern4",10,"MT-CO3",2.94282960891724
"Pattern4",11,"VIM",2.9369421005249
"Pattern4",12,"H3F3B",2.92504739761353
"Pattern4",13,"TAGLN2",2.92108082771301
"Pattern4",14,"MT-ATP6",2.90440225601196
"Pattern4",15,"AC090498.1",2.84534096717834
"Pattern4",16,"MT-CYB",2.74633121490479
"Pattern4",17,"MT-ND3",2.711345911026
"Pattern4",18,"HLA-B",2.65819787979126
"Pattern4",19,"ZFP36",2.65490484237671
"Pattern4",20,"MT-ND4L",2.52561259269714
"Pattern4",21,"RPS8",2.5224769115448
"Pattern4",22,"MYADM",2.4679434299469
"Pattern4",23,"EZR",2.37742686271667
"Pattern4",24,"CREM",2.21051120758057
"Pattern4",25,"RGCC",2.1952657699585
"Pattern4",26,"HLA-A",2.16773819923401
"Pattern4",27,"MCL1",2.13069868087769
"Pattern4",28,"MT-ND4",2.10824131965637
"Pattern4",29,"TNFAIP3",2.0712103843689
"Pattern4",30,"KDM6B",2.04167246818542
"Pattern4",31,"MT-ND2",2.01835894584656
"Pattern4",32,"TMSB4X",1.93456983566284
"Pattern4",33,"MT-ND1",1.8827748298645
"Pattern4",34,"REL",1.84045088291168
"Pattern4",35,"RPLP0",1.83671832084656
"Pattern4",36,"CXCR4",1.80835235118866
"Pattern4",37,"NFKBIA",1.79161727428436
"Pattern4",38,"UBC",1.78725588321686
"Pattern4",39,"LMNA",1.74573361873627
"Pattern4",40,"RPS2",1.70900535583496
"Pattern4",41,"CD55",1.62316727638245
"Pattern4",42,"SELK",1.6227902173996
"Pattern4",43,"CD44",1.56334412097931
"Pattern4",44,"TMSB10",1.48415553569794
"Pattern4",45,"ADGRE5",1.46812844276428
"Pattern4",46,"UBB",1.41921925544739
"Pattern4",47,"NFKB1",1.41531026363373
"Pattern4",48,"ACTB",1.39523088932037
"Pattern4",49,"SUB1",1.37215662002563
"Pattern4",50,"MYL6",1.34921360015869
"Pattern5",1,"CD74",7.57956075668335
"Pattern5",2,"EEF1A1",5.10557174682617
"Pattern5",3,"HLA-DRA",4.84704113006592
"Pattern5",4,"MALAT1",4.84366416931152
"Pattern5",5,"HLA-DRB1",4.56561040878296
"Pattern5",6,"MT-CO2",4.51968812942505
"Pattern5",7,"RPS8",4.50744867324829
"Pattern5",8,"RPS12",4.47359085083008
"Pattern5",9,"MT-CO1",4.39751482009888
"Pattern5",10,"MT-ATP6",4.307532787323
