"pattern","eta_timepoint","eta_broad_cell_type","pattern_class","peak_timepoint"
"Pattern2",0.0127874160903978,0.729341017475296,"identity-like","D14/15"
"Pattern3",0.00975805958524649,0.934257251681129,"identity-like","D10"
"Pattern4",0.00918499709666776,0.11469655956863,"identity-like","D6"
"Pattern5",0.00647730814556005,0.895539094329544,"identity-like","D0"
"Pattern1",0.00441401930779167,0.60822797447609,"identity-like","D14/15"
