pattern,scope,stratum,timepoint_merged,day_merged_numeric,n_genes_tested,mean_gene_log2fc,median_gene_log2fc,n_genes_up,n_genes_down,n_genes_near_zero,frac_genes_up,frac_genes_down,pattern_direction_consensus,pattern_class,peak_timepoint,eta_timepoint,eta_broad_cell_type,spearman_ifn_score_rho
Pattern4,all_cells,all_cells,D6,6.0,25,0.042987200837321486,0.05526267324444767,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,all_cells,all_cells,D8,8.0,25,0.02214076848531898,0.030850278815079808,1,1,23,0.04,0.04,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,all_cells,all_cells,D10,10.0,25,-0.2312944615163919,-0.29905864115997655,2,15,8,0.08,0.6,mostly_down,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,all_cells,all_cells,D14/15,14.5,25,0.1288537722543499,0.12426129343253933,11,4,10,0.44,0.16,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,all_cells,all_cells,D28,28.0,25,0.02454872560409592,-0.00474368612596147,5,2,18,0.2,0.08,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern5,all_cells,all_cells,D2,2.0,25,-0.0329852552836647,-0.0294248785487851,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,all_cells,all_cells,D4,4.0,25,-0.07835227328691453,-0.041512612240638035,0,4,21,0.0,0.16,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,all_cells,all_cells,D6,6.0,25,-0.025514532690280433,-0.013144345577986568,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,all_cells,all_cells,D8,8.0,25,-0.018465589123668295,-0.00322993841627639,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,all_cells,all_cells,D10,10.0,25,-0.1204913675909213,-0.10215443690399854,1,7,17,0.04,0.28,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,all_cells,all_cells,D14/15,14.5,25,0.2908510467484673,0.2727517597176898,14,1,10,0.56,0.04,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,all_cells,all_cells,D28,28.0,25,0.022564469565299516,0.050858435207622676,1,1,23,0.04,0.04,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern6,all_cells,all_cells,D2,2.0,25,0.04225889087037456,0.04227591773277221,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,all_cells,all_cells,D4,4.0,25,0.03313310914668758,0.03683531858691088,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,all_cells,all_cells,D6,6.0,25,0.060212921925925304,0.06042894727624611,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,all_cells,all_cells,D8,8.0,25,0.03595524398404484,0.02735441610988924,2,0,23,0.08,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,all_cells,all_cells,D10,10.0,25,-0.286192668786768,-0.3967693223604852,3,16,6,0.12,0.64,mostly_down,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,all_cells,all_cells,D14/15,14.5,25,-0.09090052912620489,-0.26651259799811616,9,13,3,0.36,0.52,mixed,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,all_cells,all_cells,D28,28.0,25,0.003388170609527722,-0.06179902499002191,3,4,18,0.12,0.16,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern7,all_cells,all_cells,D2,2.0,25,0.0058922783710141135,0.04227591773277221,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,all_cells,all_cells,D4,4.0,25,-0.02357146363773353,0.006972829296177707,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,all_cells,all_cells,D6,6.0,25,0.022321253265640308,0.056018654122097424,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,all_cells,all_cells,D8,8.0,25,-0.01687397792324942,-0.02630514350885645,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,all_cells,all_cells,D10,10.0,25,-0.36585959396115153,-0.4736041114138108,3,18,4,0.12,0.72,mostly_down,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,all_cells,all_cells,D14/15,14.5,25,-0.2852150587641319,-0.4283616927172484,6,16,3,0.24,0.64,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,all_cells,all_cells,D28,28.0,25,-0.10022794974190302,-0.09251814921991415,0,7,18,0.0,0.28,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern8,all_cells,all_cells,D2,2.0,25,-0.03303468898662885,-0.007841304215570943,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,all_cells,all_cells,D4,4.0,25,-0.15357937083535553,-0.08003224503041,0,8,17,0.0,0.32,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,all_cells,all_cells,D6,6.0,25,-0.09074007321275376,-0.0504968869791392,0,5,20,0.0,0.2,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,all_cells,all_cells,D8,8.0,25,-0.1387154840200526,-0.06509881895425391,0,6,19,0.0,0.24,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,all_cells,all_cells,D10,10.0,25,-0.11694930983317813,-0.0686888482025599,5,10,10,0.2,0.4,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,all_cells,all_cells,D14/15,14.5,25,-0.23387574887501777,-0.24576230873700075,6,12,7,0.24,0.48,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,all_cells,all_cells,D28,28.0,25,-0.03404612369923503,-0.045245211148061536,1,3,21,0.04,0.12,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern9,all_cells,all_cells,D2,2.0,25,0.10525395790331822,0.059720514140432,4,0,21,0.16,0.0,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,all_cells,all_cells,D4,4.0,25,-0.024464011177129236,-0.022005682967804436,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,all_cells,all_cells,D6,6.0,25,0.05320231348330723,0.06022588944516608,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,all_cells,all_cells,D8,8.0,25,0.04775017286388142,0.01370634237210074,3,0,22,0.12,0.0,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,all_cells,all_cells,D10,10.0,25,-0.04613404662585875,0.036034833935731925,6,10,9,0.24,0.4,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,all_cells,all_cells,D14/15,14.5,25,0.29699044021137555,0.462491579453926,14,9,2,0.56,0.36,mixed,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,all_cells,all_cells,D28,28.0,25,0.07903869755832943,0.09468971454132102,6,3,16,0.24,0.12,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern1,cell_type,B_cell,D2,2.0,25,-0.04633544838695413,-0.019369319460388112,0,3,22,0.0,0.12,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,B_cell,D4,4.0,25,-0.12145411657606035,-0.07844574551535999,0,4,21,0.0,0.16,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,B_cell,D6,6.0,25,-0.023311045040576017,-0.022022727327977165,1,1,23,0.04,0.04,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,B_cell,D8,8.0,25,-0.03850955675508835,-0.054642775447371505,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,B_cell,D10,10.0,25,-0.1995353690513678,-0.19705342677150325,1,10,14,0.04,0.4,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
