pattern,rank,gene,weight,scope,stratum,timepoint_merged,day_merged_numeric,n_subject_contrasts,mean_log2fc,median_log2fc,n_up,n_down,n_near_zero,frac_up,frac_down,gene_direction_consensus
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D4,4.0,3,-0.043692127622651476,-0.19814153922336786,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D4,4.0,3,-0.047705634739812076,0.006045134612074676,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D4,4.0,3,-0.0677434782556432,-0.08290315016223282,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D4,4.0,3,-0.08003224503041,0.041692318123542904,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D4,4.0,3,-0.3544777926246496,-0.48047664743175567,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D4,4.0,3,-0.034870622440398215,-0.10046683416875624,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D4,4.0,3,-0.19527100438128522,-0.2364463814486406,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D4,4.0,3,0.059071561990641897,-0.0006533339674703598,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D4,4.0,3,0.030710196254119637,-0.06543652394726429,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D4,4.0,3,-0.1378932405651566,-0.019645777315641766,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,22,S100A11,2.93374919891357,all_cells,all_cells,D4,4.0,3,-0.4049562242584859,-0.37669214019936703,0,3,0,0.0,1.0,mostly_down
Pattern1,23,MT-ND4L,2.9286732673645,all_cells,all_cells,D4,4.0,3,0.08344947783186225,0.1451697330277728,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,24,SH3BGRL3,2.81964635848999,all_cells,all_cells,D4,4.0,3,-0.17564452381927906,-0.2580634923203018,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,25,LMNA,2.80009579658508,all_cells,all_cells,D4,4.0,3,-0.2855712645564446,-0.1554683482700696,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D6,6.0,3,-0.10009375865088248,-0.12148821561114254,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D6,6.0,3,-0.10114452863755947,-0.08526989579682187,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D6,6.0,3,0.1068403811202406,0.10045515637428082,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D6,6.0,3,0.05757977623169038,0.029836034641556708,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D6,6.0,3,0.045546883123392355,0.009761029242220332,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D6,6.0,3,0.03857334145098908,0.008769013748343824,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D6,6.0,3,0.07298881479363395,0.09106210565295925,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,8,MT-CYB,3.48091006278992,all_cells,all_cells,D6,6.0,3,0.06409165714482097,0.04950681029862736,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,9,RPS12,3.46291732788086,all_cells,all_cells,D6,6.0,3,0.12304004790594192,0.09308965667869273,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,10,MT-CO3,3.41657543182373,all_cells,all_cells,D6,6.0,3,0.06022588944516608,0.07222830445242678,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,11,MALAT1,3.39676785469055,all_cells,all_cells,D6,6.0,3,0.05526267324444767,0.06010623804743709,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D6,6.0,3,0.06097323874672907,0.08287860540615988,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D6,6.0,3,-0.08547469763862914,-0.041759942060668465,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D6,6.0,3,0.009716896571307624,-0.00037210830167211384,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D6,6.0,3,0.01725195463757423,-0.010822529061382369,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D6,6.0,3,-0.22526125175786404,-0.13267431143368924,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D6,6.0,3,0.09207117397260885,0.09642517403004192,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D6,6.0,3,-0.043931374902221286,0.06260506969576518,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D6,6.0,3,0.06862411693478936,0.08530695961575852,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D6,6.0,3,0.07781342943515608,0.050694985730423525,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D6,6.0,3,0.07199921784366896,0.12835626269992595,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,22,S100A11,2.93374919891357,all_cells,all_cells,D6,6.0,3,-0.2044755559237128,-0.020836338723579928,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,23,MT-ND4L,2.9286732673645,all_cells,all_cells,D6,6.0,3,0.08304318242202591,0.07540787776106228,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,24,SH3BGRL3,2.81964635848999,all_cells,all_cells,D6,6.0,3,-0.1101091507502634,-0.058356895722946334,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,25,LMNA,2.80009579658508,all_cells,all_cells,D6,6.0,3,-0.10714107901920074,0.18737045951675846,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D8,8.0,3,-0.12188285922445452,-0.148922958018753,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D8,8.0,3,-0.18392943422281446,-0.13523353002348415,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D8,8.0,3,0.030850278815079808,0.05556996983206197,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D8,8.0,3,0.10296436077845605,0.10537386656787007,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D8,8.0,3,-0.049282066632132526,-0.08433334597479636,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D8,8.0,3,-0.06509881895425391,-0.05868273513924116,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D8,8.0,3,-0.05952501737827198,-0.08293456924631748,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,8,MT-CYB,3.48091006278992,all_cells,all_cells,D8,8.0,3,-0.02630514350885645,0.009990932596929625,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,9,RPS12,3.46291732788086,all_cells,all_cells,D8,8.0,3,0.09527415030939974,0.16469115439050874,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,10,MT-CO3,3.41657543182373,all_cells,all_cells,D8,8.0,3,-0.06494055323847725,-0.06519796666157163,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,11,MALAT1,3.39676785469055,all_cells,all_cells,D8,8.0,3,-0.12618101906005622,-0.11857150750520873,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D8,8.0,3,0.13931237126006715,-0.026506270252610875,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D8,8.0,3,-0.17324794311124414,-0.14481501017488974,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D8,8.0,3,0.02735441610988924,0.09539883274293182,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D8,8.0,3,0.042057050806477626,0.005290525951771485,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D8,8.0,3,-0.2550128898868789,-0.11970326215506333,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D8,8.0,3,0.11683331374559221,0.14473915284732364,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D8,8.0,3,-0.05093089935457821,-0.01964902139651059,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D8,8.0,3,0.03191901316292878,0.13391290506334386,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D8,8.0,3,0.08558757323330646,0.11595826876068749,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D8,8.0,3,-0.026886971214596045,0.061272447290580345,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,22,S100A11,2.93374919891357,all_cells,all_cells,D8,8.0,3,-0.2683503947326488,-0.2647574158475834,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,23,MT-ND4L,2.9286732673645,all_cells,all_cells,D8,8.0,3,-0.02962897304591176,-0.017390585181733087,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,24,SH3BGRL3,2.81964635848999,all_cells,all_cells,D8,8.0,3,-0.09066959657147144,0.05884316179076876,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,25,LMNA,2.80009579658508,all_cells,all_cells,D8,8.0,3,-0.031769937767419286,-0.110331910171654,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D10,10.0,3,-0.4884154961179128,-0.5829201127961028,0,3,0,0.0,1.0,mostly_down
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D10,10.0,3,-0.0686888482025599,0.0964781913894317,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D10,10.0,3,-0.7632295965692814,-0.7332204908512612,0,3,0,0.0,1.0,mostly_down
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D10,10.0,3,0.3708457198518224,0.4015239683307712,2,0,1,0.6666666666666666,0.0,mostly_up
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D10,10.0,3,-0.4447958445701345,-0.33719563934855934,0,3,0,0.0,1.0,mostly_down
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D10,10.0,3,-0.3967693223604852,-0.31117703181391754,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D10,10.0,3,-0.6884652577238827,-0.5479767988810842,0,3,0,0.0,1.0,mostly_down
Pattern1,8,MT-CYB,3.48091006278992,all_cells,all_cells,D10,10.0,3,-0.8510137097051835,-0.8818171887992357,0,3,0,0.0,1.0,mostly_down
Pattern1,9,RPS12,3.46291732788086,all_cells,all_cells,D10,10.0,3,-0.43887391146481036,-0.5714795899972103,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,10,MT-CO3,3.41657543182373,all_cells,all_cells,D10,10.0,3,-0.6014652755140766,-0.5549727606007533,0,3,0,0.0,1.0,mostly_down
Pattern1,11,MALAT1,3.39676785469055,all_cells,all_cells,D10,10.0,3,-0.29905864115997655,-0.37854637024892135,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D10,10.0,3,-0.3999963345715714,-0.46886297540213207,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D10,10.0,3,-0.7283671896032443,-0.7573796641663666,0,3,0,0.0,1.0,mostly_down
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D10,10.0,3,0.06937370056864722,0.07392254381328911,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D10,10.0,3,0.24971996457429194,0.3651305624306058,2,0,1,0.6666666666666666,0.0,mostly_up
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D10,10.0,3,-0.35209230568908545,-0.5317612328458576,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D10,10.0,3,-0.27565402917010157,-0.2762405785392037,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D10,10.0,3,-0.33605673284334614,-0.3805641080839859,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D10,10.0,3,-0.7405459907437031,-0.8505931080287539,0,3,0,0.0,1.0,mostly_down
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D10,10.0,3,-0.02407561570960996,-0.08906746020198675,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D10,10.0,3,-0.14145382743124676,-0.15996206603702312,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,22,S100A11,2.93374919891357,all_cells,all_cells,D10,10.0,3,0.15533219001854862,-0.04341747838487642,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,23,MT-ND4L,2.9286732673645,all_cells,all_cells,D10,10.0,3,-0.6740083096003442,-0.5659324578933571,0,3,0,0.0,1.0,mostly_down
Pattern1,24,SH3BGRL3,2.81964635848999,all_cells,all_cells,D10,10.0,3,-0.07275999982754655,-0.17092281015296606,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,25,LMNA,2.80009579658508,all_cells,all_cells,D10,10.0,3,-0.7065362118979618,-0.5218979493572977,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D14/15,14.5,3,-0.526091787442771,-0.42325583008811307,0,3,0,0.0,1.0,mostly_down
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D14/15,14.5,3,-0.1661364067051494,-0.11480551579743015,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D14/15,14.5,3,-0.621171258103273,-0.827222439875122,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D14/15,14.5,3,0.5235944510458767,0.5247442164354155,3,0,0,1.0,0.0,mostly_up
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D14/15,14.5,3,-0.33885345669153705,-0.5225020919910897,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D14/15,14.5,3,-0.6983767175295655,-0.764168321870283,0,3,0,0.0,1.0,mostly_down
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D14/15,14.5,3,-0.6319528024685273,-0.7958247004109147,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,8,MT-CYB,3.48091006278992,all_cells,all_cells,D14/15,14.5,3,-0.8243473420379477,-0.9643072200903724,0,3,0,0.0,1.0,mostly_down
Pattern1,9,RPS12,3.46291732788086,all_cells,all_cells,D14/15,14.5,3,-0.30853922544547946,-0.26350147174851735,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,10,MT-CO3,3.41657543182373,all_cells,all_cells,D14/15,14.5,3,-0.6583206490823041,-0.8552774276629656,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,11,MALAT1,3.39676785469055,all_cells,all_cells,D14/15,14.5,3,-0.19913380975656322,-0.20921090938157683,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D14/15,14.5,3,-0.3994239334395881,-0.13477507978373993,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D14/15,14.5,3,-0.7961636111360951,-0.8249016390032295,0,3,0,0.0,1.0,mostly_down
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D14/15,14.5,3,0.3046364183912112,0.14150876519587818,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D14/15,14.5,3,0.48454191808755037,0.49406834240475206,3,0,0,1.0,0.0,mostly_up
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D14/15,14.5,3,-0.43466613298593987,-0.21450948112570956,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D14/15,14.5,3,-0.08716655235069481,-0.1561984047159104,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D14/15,14.5,3,0.22645265949531654,0.09892676246407106,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D14/15,14.5,3,-0.6226638517310897,-0.7607518331072605,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D14/15,14.5,3,0.2683597944213538,0.30978172472637233,2,0,1,0.6666666666666666,0.0,mostly_up
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D14/15,14.5,3,-0.0011313232074705581,-0.3302550766406913,1,2,0,0.3333333333333333,0.6666666666666666,mixed
Pattern1,22,S100A11,2.93374919891357,all_cells,all_cells,D14/15,14.5,3,-0.15624535558785801,-0.10567524719025201,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,23,MT-ND4L,2.9286732673645,all_cells,all_cells,D14/15,14.5,3,-0.5378189805595207,-0.6081682361679892,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,24,SH3BGRL3,2.81964635848999,all_cells,all_cells,D14/15,14.5,3,0.05508217939552296,0.1904903338057231,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,25,LMNA,2.80009579658508,all_cells,all_cells,D14/15,14.5,3,-0.5282711657555712,-0.5859714529108899,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D28,28.0,3,-0.33265506486334634,-0.33884453262369796,0,3,0,0.0,1.0,mostly_down
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D28,28.0,3,0.08877012420193313,-0.0844575254652451,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D28,28.0,3,-0.092017893595429,-0.023169098375744213,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D28,28.0,3,0.16695733130599363,0.14588313496404837,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D28,28.0,3,-0.10501995275324501,-0.16997419193090835,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D28,28.0,3,-0.14566276960601776,-0.14591127015662764,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D28,28.0,3,-0.3227892904550143,-0.32345507761647774,0,2,1,0.0,0.6666666666666666,mostly_down
