pattern,broad_cell_type,timepoint_merged,day_merged_numeric,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern2,Neutrophil,D0,0.0,2,2,3,0.0006723500441693828,0.000686577908429227,0.0006723500441693828,0.0001868661493062,0.0011578339390325657,0.00048548389486318284,3,0.0008341780091237772,0.0001868661493062
Pattern2,Plasmablast,D0,0.0,2,2,2,0.08050137013196945,0.0031288661296153875,0.08050137013196945,0.0782889276742935,0.0827138125896454,0.0022124424576759477,2,0.08050137013196945,0.08050137013196945
Pattern2,T_cell,D0,0.0,3,3,324,0.004253837564372531,0.0018603000968251575,0.004931436564134514,0.0021497162391891787,0.005680359889793901,0.0010740447616754917,324,0.004561926819064766,3.934247797587885e-05
Pattern2,B_cell,D2,2.0,3,3,38,0.014112632366563576,0.020108889569099113,0.0051994228740113585,8.91410849135355e-07,0.03713758281483023,0.011609872805823832,38,0.016712163595247815,1.471511177442155e-05
Pattern2,Monocyte,D2,2.0,3,3,86,0.3950893868072116,0.32876055576851604,0.41292856213374013,0.057772439384500524,0.7145671589033943,0.18980999537188373,86,0.32575168194827797,0.3130558878183365
Pattern2,NK_cell,D2,2.0,3,3,118,0.014940485170323722,0.013068479763514591,0.015088864626461007,0.0017984474563724126,0.02793414342813775,0.007545090309364327,118,0.007504887219002919,4.1757175495149554e-05
Pattern2,Neutrophil,D2,2.0,2,2,5,0.005257721568871871,0.00720079453462735,0.005257721568871871,0.00016599092350584176,0.0103494522142379,0.005091730645366029,5,0.006276067697945077,0.0003283602127339
Pattern2,Plasmablast,D2,2.0,3,3,5,0.056819439046080174,0.05388554428082866,0.0632659867405891,6.112828714321934e-07,0.10719171911478,0.03111083349596593,5,0.03409190794079668,1.83384861429658e-06
Pattern2,T_cell,D2,2.0,3,3,348,0.004537368446205672,0.0031266743474343164,0.0031899669534665156,0.0023102978489621365,0.008111840536188363,0.0018051862761595,348,0.005122299926379823,3.7567497201962397e-05
Pattern2,B_cell,D4,4.0,3,3,63,0.013053840531580157,0.018046517329416405,0.005458999102681898,4.603659792223838e-05,0.033656485894136334,0.010419161638073809,63,0.013931019885790517,1.14183594632777e-05
Pattern2,Monocyte,D4,4.0,3,3,72,0.3874923973408995,0.32956734963607265,0.4221949093043804,0.04194693102979672,0.6983353516885213,0.19027579802849806,72,0.2963273389160766,0.275660052895546
Pattern2,NK_cell,D4,4.0,3,3,103,0.009150339635345074,0.006351387288251963,0.008793849600380084,0.002984705190968556,0.015672464114686584,0.0036669751605998384,103,0.004872553559321262,3.68576147593558e-05
Pattern2,Neutrophil,D4,4.0,3,3,10,0.001161331617716579,0.0009199872986077334,0.0015851876705709781,0.00010581828769313301,0.0017929888948856262,0.0005311549145022115,10,0.001393214406152733,0.00018818083481155
Pattern2,Plasmablast,D4,4.0,3,3,4,0.07654727374513949,0.06845344789856549,0.09775454923510546,0.0,0.131887272000313,0.03952161657119481,4,0.08184909261763097,0.09775454923510546
Pattern2,T_cell,D4,4.0,3,3,348,0.0039537553288480545,0.0019503346128191914,0.003153681246523852,0.0025306861747885503,0.006176898565231762,0.0011260262137210047,348,0.004326370084482123,3.404042399779425e-05
Pattern2,B_cell,D6,6.0,3,3,61,0.014685079235212022,0.016504641220131882,0.008594278820523589,0.002091432331667422,0.03336952655344506,0.009528959051321336,61,0.01826085902872199,5.68813338759355e-05
Pattern2,Monocyte,D6,6.0,3,3,64,0.40574319227825395,0.3367180152775031,0.5144578323644751,0.028098280321050006,0.6746734641492368,0.19440423676146296,64,0.31893133228963144,0.312237948179245
