pattern,eta_timepoint,eta_broad_cell_type,pattern_class,peak_timepoint
Pattern2,0.012787416090397817,0.7293410174752955,identity-like,D14/15
Pattern3,0.009758059585246486,0.9342572516811289,identity-like,D10
Pattern4,0.009184997096667768,0.11469655956862973,identity-like,D6
Pattern5,0.006477308145560051,0.895539094329544,identity-like,D0
Pattern1,0.004414019307791669,0.6082279744760904,identity-like,D14/15
