broad_cell_type,timepoint_merged,day_merged_numeric,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
B_cell,D0,0.0,0.058937158886147416,0.02448071361655421,0.021428615564231725,0.23963052819096933,0.6982419723517275
B_cell,D2,2.0,0.05837414245498146,0.025356130628369413,0.019424057883514336,0.24651830284767584,0.6778505844505209
B_cell,D4,4.0,0.050558198134736027,0.04836607893839881,0.018962550486962177,0.21331713015005846,0.6534177788666317
B_cell,D6,6.0,0.06715102233433344,0.031755448799096905,0.02659161218571171,0.2530089994495232,0.6614813455304162
B_cell,D8,8.0,0.07498573101252551,0.03522378623356606,0.02053927869805155,0.25516203628440337,0.6164611642559369
B_cell,D10,10.0,0.05006115378721115,0.011871539137189302,0.015063154790741452,0.26211911812370287,0.6341172910254934
B_cell,D14/15,14.5,0.0842728037933194,0.019149295047285526,0.019445973651425884,0.2768123701939361,0.6753704172113667
B_cell,D28,28.0,0.06057478066751289,0.04350169783691017,0.013628125468963479,0.2772040506352647,0.6257845051586628
Monocyte,D0,0.0,0.05320836233519618,0.020285097573295906,0.6731213935396888,0.25424458052744037,0.08013484767619161
Monocyte,D2,2.0,0.056410746355846295,0.02756353519369638,0.6644116037113722,0.25735520573270876,0.08370727194528196
Monocyte,D4,4.0,0.05476232712467402,0.04642485167659811,0.6614576429128647,0.21661425215842517,0.11150504663444849
Monocyte,D6,6.0,0.07673970348412595,0.04022578563450732,0.6616199216805398,0.22746140462402487,0.08257058970503106
Monocyte,D8,8.0,0.06867989114421004,0.02889641435743684,0.6543527826328169,0.2108218338366,0.08999836923299366
Monocyte,D10,10.0,0.04441834142181964,0.059205798887635525,0.6933230286480015,0.2014890255275468,0.08169712417725836
Monocyte,D14/15,14.5,0.060609190266827644,0.05409887977738737,0.7298013269901276,0.2054258028018545,0.07536835885047531
Monocyte,D28,28.0,0.07477026133655688,0.045338693270246186,0.6432361744613533,0.23358590899247225,0.11221081182648104
NK_cell,D0,0.0,0.14174824254994853,0.4595944909378886,0.012692276514565958,0.2391026422082583,0.02384276198948434
NK_cell,D2,2.0,0.09654123066356812,0.4794183341880976,0.005793712244050436,0.241793119846243,0.02391338430642845
NK_cell,D4,4.0,0.12255204639397994,0.5246373617533341,0.00801171016431837,0.1654623200856197,0.022540789593310583
NK_cell,D6,6.0,0.14285815548816613,0.48722367205403067,0.012833931428467338,0.1862040047316358,0.021403136336645708
