pattern,rank,gene,weight
Pattern3,44,H3F3A,2.646801710128784
Pattern3,45,H3F3B,2.637573003768921
Pattern3,46,CYBA,2.549940347671509
Pattern3,47,FCN1,2.5065436363220215
Pattern3,48,TSPO,2.4982759952545166
Pattern3,49,GABARAP,2.4758827686309814
Pattern3,50,GPX1,2.4536569118499756
Pattern4,1,FTH1,4.6244611740112305
Pattern4,2,MALAT1,3.9481470584869385
Pattern4,3,SRGN,3.6540627479553223
Pattern4,4,MT-CO1,3.4182775020599365
Pattern4,5,EEF1A1,3.2541399002075195
Pattern4,6,MT-CO2,3.124403715133667
Pattern4,7,B2M,3.111801862716675
Pattern4,8,PTMA,3.086975574493408
Pattern4,9,RPS12,2.9462640285491943
Pattern4,10,MT-CO3,2.9428296089172363
Pattern4,11,VIM,2.9369421005249023
Pattern4,12,H3F3B,2.9250473976135254
Pattern4,13,TAGLN2,2.9210808277130127
Pattern4,14,MT-ATP6,2.904402256011963
Pattern4,15,AC090498.1,2.8453409671783447
Pattern4,16,MT-CYB,2.746331214904785
Pattern4,17,MT-ND3,2.711345911026001
Pattern4,18,HLA-B,2.6581978797912598
Pattern4,19,ZFP36,2.654904842376709
Pattern4,20,MT-ND4L,2.5256125926971436
Pattern4,21,RPS8,2.5224769115448
Pattern4,22,MYADM,2.4679434299468994
Pattern4,23,EZR,2.377426862716675
Pattern4,24,CREM,2.2105112075805664
Pattern4,25,RGCC,2.195265769958496
Pattern4,26,HLA-A,2.167738199234009
Pattern4,27,MCL1,2.1306986808776855
Pattern4,28,MT-ND4,2.108241319656372
Pattern4,29,TNFAIP3,2.0712103843688965
Pattern4,30,KDM6B,2.041672468185425
Pattern4,31,MT-ND2,2.0183589458465576
Pattern4,32,TMSB4X,1.9345698356628418
Pattern4,33,MT-ND1,1.882774829864502
Pattern4,34,REL,1.8404508829116821
Pattern4,35,RPLP0,1.8367183208465576
Pattern4,36,CXCR4,1.8083523511886597
Pattern4,37,NFKBIA,1.7916172742843628
Pattern4,38,UBC,1.787255883216858
Pattern4,39,LMNA,1.745733618736267
Pattern4,40,RPS2,1.709005355834961
Pattern4,41,CD55,1.6231672763824463
Pattern4,42,SELK,1.6227902173995972
Pattern4,43,CD44,1.563344120979309
Pattern4,44,TMSB10,1.484155535697937
Pattern4,45,ADGRE5,1.4681284427642822
Pattern4,46,UBB,1.4192192554473877
Pattern4,47,NFKB1,1.415310263633728
Pattern4,48,ACTB,1.3952308893203735
Pattern4,49,SUB1,1.3721566200256348
Pattern4,50,MYL6,1.3492136001586914
Pattern5,1,CD74,7.57956075668335
