pattern,kruskal_time_stat,kruskal_time_p,eta_timepoint,eta_broad_cell_type,pattern_class,spearman_ifn_score_rho,spearman_ifn_score_p,peak_timepoint,ifn_top_gene_overlap_top15,candidate_ifn_pattern,kruskal_time_p_adj,ifn_score_p_adj
Pattern2,56.17024700756701,8.736937834062297e-10,0.012787416090397817,0.7293410174752955,identity-like,0.3114430363039512,1.8442342315242432e-108,D14/15,0,False,2.184234458515574e-09,9.221171157621216e-108
Pattern3,105.42407704017704,8.153410668100405e-20,0.009758059585246486,0.9342572516811289,identity-like,0.11269242180222816,4.860083212511671e-15,D10,0,False,4.076705334050202e-19,8.10013868751945e-15
Pattern4,52.28562190634619,5.128607527371994e-09,0.009184997096667768,0.11469655956862973,identity-like,-0.12579581585799754,2.1737994453586725e-18,D6,0,False,8.547679212286656e-09,5.434498613396681e-18
Pattern5,11.83119933482763,0.10624841258607114,0.006477308145560051,0.895539094329544,identity-like,-0.08032902747578342,2.505102506605663e-08,D0,0,False,0.10624841258607114,3.131378133257079e-08
Pattern1,15.725999895151757,0.027741013957671472,0.004414019307791669,0.6082279744760904,identity-like,-0.002620206195257846,0.8559859312699868,D14/15,0,False,0.03467626744708934,0.8559859312699867
