timepoint_merged,day_merged_numeric,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
D0,0.0,0.31756872379522055,0.11189560943906064,0.13476722746245873,0.3087012588964224,0.1110251648881444
D2,2.0,0.32840331305317777,0.1411913685393923,0.10769444711158666,0.3308290580084097,0.07220025202752484
D4,4.0,0.319101336631048,0.13276703219036914,0.09045482038480185,0.28000522689030277,0.09682157689582158
D6,6.0,0.3097792472676196,0.1424405814958931,0.08450271736352409,0.3315309221680499,0.09318429107459826
D8,8.0,0.3121109029260766,0.1482531181961087,0.1097290319244065,0.2935677168404272,0.08929736606548926
D10,10.0,0.2753827475119337,0.1713058813521496,0.15192285494685645,0.25541801172038076,0.0813315075936729
D14/15,14.5,0.33538833830418013,0.1971418080821449,0.14694945040307986,0.2921069294564892,0.05607366107850162
D28,28.0,0.2993297049285154,0.13817373015262993,0.09822474934063112,0.29047935287698734,0.08410759701343479
