"timepoint_merged","day_merged_numeric","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Pattern7","Pattern8","Pattern9","Pattern10"
"D0",0,0.166504439313727,0.0756704179544075,0.0261448983271701,0.127243841589175,0.119734530372512,0.164776733159226,0.264877769965297,0.0747906307786022,0.102689324739526,0.109305588410287
"D2",2,0.183618682159146,0.0525328063476459,0.0231276597016465,0.152279949831576,0.109484965162253,0.178580347535158,0.275605033122392,0.0637471904697382,0.135232338853552,0.0685577697902008
"D4",4,0.14048857308672,0.0409366682921737,0.0184077934628967,0.134661167246832,0.0950289100675384,0.179399745035268,0.279535035912281,0.0570063654976669,0.125992276674163,0.0943031190988359
"D6",6,0.186092303243425,0.0402228987099738,0.0208911861932056,0.155578386406959,0.112460887018586,0.167843093899687,0.255130109154712,0.0504438302707781,0.135985352257055,0.0915269988215982
"D8",8,0.172049921756744,0.0453883901247157,0.0324315410066944,0.13705286880686,0.107551392105508,0.172919318682316,0.258901013809909,0.0708197550346121,0.136793055913334,0.0859977660547178
"D10",10,0.134059897002329,0.0600172566095587,0.211456358415566,0.116101768635251,0.0868756669397299,0.149828365652815,0.227810186136771,0.0801583864257761,0.151198596481863,0.073454180436367
"D14/15",14.5,0.106919319690357,0.0441239395770321,0.193143194363061,0.168326510506514,0.154111388538337,0.157464143774715,0.29029468322508,0.0842674787271558,0.187179170271234,0.0421678265924206
"D28",28,0.173083841267404,0.0394961790804541,0.0289487450759575,0.145431073600484,0.0785365197931291,0.179753803705495,0.235020378892685,0.0648474072746096,0.128620391949413,0.0820219551790038
