subject,broad_cell_type,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject2,Monocyte,D10,10.0,24,Pattern2,0.6182452111709911
Subject2,Monocyte,D10,10.0,24,Pattern3,0.33090777384738135
Subject2,Monocyte,D10,10.0,24,Pattern4,0.12433687231451528
Subject2,Monocyte,D10,10.0,24,Pattern5,0.15895356406629924
Subject2,Monocyte,D10,10.0,24,Pattern6,0.021873651516713725
Subject2,Monocyte,D10,10.0,24,Pattern7,0.001971543797040441
Subject2,Monocyte,D10,10.0,24,Pattern8,0.10463124342883628
Subject2,Monocyte,D10,10.0,24,Pattern9,0.021382813598613354
Subject2,Monocyte,D10,10.0,24,Pattern10,0.0831555641269309
Subject2,Monocyte,D14/15,14.5,9,Pattern1,0.004813188776324744
Subject2,Monocyte,D14/15,14.5,9,Pattern2,0.5916806062062582
Subject2,Monocyte,D14/15,14.5,9,Pattern3,0.25380437738365585
Subject2,Monocyte,D14/15,14.5,9,Pattern4,0.17302987972895303
Subject2,Monocyte,D14/15,14.5,9,Pattern5,0.1350073849316686
Subject2,Monocyte,D14/15,14.5,9,Pattern6,0.016549622909021997
Subject2,Monocyte,D14/15,14.5,9,Pattern7,0.0257884664966797
Subject2,Monocyte,D14/15,14.5,9,Pattern8,0.1873001572158601
Subject2,Monocyte,D14/15,14.5,9,Pattern9,0.002856445363702188
Subject2,Monocyte,D14/15,14.5,9,Pattern10,0.04634661113798044
Subject2,Monocyte,D2,2.0,14,Pattern1,0.03064853007572104
Subject2,Monocyte,D2,2.0,14,Pattern2,0.7145671589033943
Subject2,Monocyte,D2,2.0,14,Pattern3,0.03700672957737528
Subject2,Monocyte,D2,2.0,14,Pattern4,0.13266568484583083
Subject2,Monocyte,D2,2.0,14,Pattern5,0.21858566295278645
Subject2,Monocyte,D2,2.0,14,Pattern6,0.032369338808377626
Subject2,Monocyte,D2,2.0,14,Pattern7,0.07504312832614746
Subject2,Monocyte,D2,2.0,14,Pattern8,0.05269265757903798
Subject2,Monocyte,D2,2.0,14,Pattern9,0.020759162708470412
Subject2,Monocyte,D2,2.0,14,Pattern10,0.05248384384361775
Subject2,Monocyte,D28,28.0,31,Pattern1,0.20219595699135456
Subject2,Monocyte,D28,28.0,31,Pattern2,0.47276232319493444
Subject2,Monocyte,D28,28.0,31,Pattern3,0.12144767315302737
Subject2,Monocyte,D28,28.0,31,Pattern4,0.04321625151784505
Subject2,Monocyte,D28,28.0,31,Pattern5,0.16968311952258514
Subject2,Monocyte,D28,28.0,31,Pattern6,0.002153160301696006
Subject2,Monocyte,D28,28.0,31,Pattern7,0.037256580022284075
Subject2,Monocyte,D28,28.0,31,Pattern8,0.26985619385396276
Subject2,Monocyte,D28,28.0,31,Pattern9,0.003617137126516845
Subject2,Monocyte,D28,28.0,31,Pattern10,0.07439039599905901
Subject2,Monocyte,D4,4.0,14,Pattern1,0.023479472896618912
Subject2,Monocyte,D4,4.0,14,Pattern2,0.6983353516885213
Subject2,Monocyte,D4,4.0,14,Pattern3,0.029991750766332776
Subject2,Monocyte,D4,4.0,14,Pattern4,0.11666187768735532
Subject2,Monocyte,D4,4.0,14,Pattern5,0.21109754418349835
Subject2,Monocyte,D4,4.0,14,Pattern6,0.03086229797840392
Subject2,Monocyte,D4,4.0,14,Pattern7,0.035625881731480784
Subject2,Monocyte,D4,4.0,14,Pattern8,0.08164638331152625
Subject2,Monocyte,D4,4.0,14,Pattern9,0.014652437616066175
Subject2,Monocyte,D4,4.0,14,Pattern10,0.06523465830416944
Subject2,Monocyte,D6,6.0,16,Pattern1,0.07577857293958336
Subject2,Monocyte,D6,6.0,16,Pattern2,0.6746734641492368
Subject2,Monocyte,D6,6.0,16,Pattern3,0.04344261534235682
Subject2,Monocyte,D6,6.0,16,Pattern4,0.11101168696768579
Subject2,Monocyte,D6,6.0,16,Pattern5,0.15603098659642
Subject2,Monocyte,D6,6.0,16,Pattern6,0.02265012100360761
Subject2,Monocyte,D6,6.0,16,Pattern7,0.023830685767478595
Subject2,Monocyte,D6,6.0,16,Pattern8,0.034771684841160735
Subject2,Monocyte,D6,6.0,16,Pattern9,0.024898508947842398
Subject2,Monocyte,D6,6.0,16,Pattern10,0.07686492387590246
Subject2,Monocyte,D8,8.0,21,Pattern1,0.03864861347275502
Subject2,Monocyte,D8,8.0,21,Pattern2,0.6443288581711906
Subject2,Monocyte,D8,8.0,21,Pattern3,0.06042141030703673
Subject2,Monocyte,D8,8.0,21,Pattern4,0.11208790325309521
Subject2,Monocyte,D8,8.0,21,Pattern5,0.09980810077202235
Subject2,Monocyte,D8,8.0,21,Pattern6,0.04200531161978508
Subject2,Monocyte,D8,8.0,21,Pattern7,0.04687157129670335
Subject2,Monocyte,D8,8.0,21,Pattern8,0.02810197171943618
Subject2,Monocyte,D8,8.0,21,Pattern9,0.014056329750402354
Subject2,Monocyte,D8,8.0,21,Pattern10,0.08036595170223053
Subject2,NK_cell,D0,0.0,10,Pattern1,0.14768069274723522
Subject2,NK_cell,D0,0.0,10,Pattern2,0.020677509199595063
Subject2,NK_cell,D0,0.0,10,Pattern3,0.053045929502695786
Subject2,NK_cell,D0,0.0,10,Pattern4,0.42528811395168287
Subject2,NK_cell,D0,0.0,10,Pattern5,0.06946684551876384
Subject2,NK_cell,D0,0.0,10,Pattern6,1.158589629994821e-05
Subject2,NK_cell,D0,0.0,10,Pattern7,0.06751590989708804
Subject2,NK_cell,D0,0.0,10,Pattern8,9.006400046018825e-06
Subject2,NK_cell,D0,0.0,10,Pattern9,0.4307282105088236
Subject2,NK_cell,D0,0.0,10,Pattern10,0.016353981002066566
Subject2,NK_cell,D10,10.0,3,Pattern1,0.15581466462511645
Subject2,NK_cell,D10,10.0,3,Pattern2,0.00014066356137239
Subject2,NK_cell,D10,10.0,3,Pattern3,0.23846793671449032
Subject2,NK_cell,D10,10.0,3,Pattern4,0.272814095020294
Subject2,NK_cell,D10,10.0,3,Pattern5,0.15184344847997044
Subject2,NK_cell,D10,10.0,3,Pattern6,0.0
Subject2,NK_cell,D10,10.0,3,Pattern7,0.18358062456051527
Subject2,NK_cell,D10,10.0,3,Pattern8,2.54088566483309e-06
Subject2,NK_cell,D10,10.0,3,Pattern9,0.3957609434922537
Subject2,NK_cell,D10,10.0,3,Pattern10,0.0003163790873562
Subject2,NK_cell,D14/15,14.5,28,Pattern1,0.11029738271556813
Subject2,NK_cell,D14/15,14.5,28,Pattern2,0.019153350399262435
Subject2,NK_cell,D14/15,14.5,28,Pattern3,0.2663356965141638
Subject2,NK_cell,D14/15,14.5,28,Pattern4,0.39917148303772715
Subject2,NK_cell,D14/15,14.5,28,Pattern5,0.39083227249128477
Subject2,NK_cell,D14/15,14.5,28,Pattern6,0.006124603551459778
Subject2,NK_cell,D14/15,14.5,28,Pattern7,0.031169432943901895
Subject2,NK_cell,D14/15,14.5,28,Pattern8,0.00560912082492848
Subject2,NK_cell,D14/15,14.5,28,Pattern9,0.5936689121382577
Subject2,NK_cell,D14/15,14.5,28,Pattern10,0.01037451090675033
Subject2,NK_cell,D2,2.0,10,Pattern1,0.18996271886280752
Subject2,NK_cell,D2,2.0,10,Pattern2,0.02793414342813775
Subject2,NK_cell,D2,2.0,10,Pattern3,0.035175634437450726
Subject2,NK_cell,D2,2.0,10,Pattern4,0.4097296088933944
Subject2,NK_cell,D2,2.0,10,Pattern5,0.07347795041423524
Subject2,NK_cell,D2,2.0,10,Pattern6,0.0016342260366286599
Subject2,NK_cell,D2,2.0,10,Pattern7,0.07070809092547284
Subject2,NK_cell,D2,2.0,10,Pattern8,0.0008084259930853823
Subject2,NK_cell,D2,2.0,10,Pattern9,0.4291780516505243
Subject2,NK_cell,D2,2.0,10,Pattern10,0.0124573867113213
Subject2,NK_cell,D28,28.0,12,Pattern1,0.027177743467421533
Subject2,NK_cell,D28,28.0,12,Pattern2,0.0026854074726543145
Subject2,NK_cell,D28,28.0,12,Pattern3,0.075545351797094
Subject2,NK_cell,D28,28.0,12,Pattern4,0.4623332401468781
Subject2,NK_cell,D28,28.0,12,Pattern5,0.0741290664326092
Subject2,NK_cell,D28,28.0,12,Pattern6,0.01734435820121877
Subject2,NK_cell,D28,28.0,12,Pattern7,0.05225997228535568
Subject2,NK_cell,D28,28.0,12,Pattern8,0.010014288730114148
Subject2,NK_cell,D28,28.0,12,Pattern9,0.5143456434210142
Subject2,NK_cell,D28,28.0,12,Pattern10,0.005539829114866262
Subject2,NK_cell,D4,4.0,8,Pattern1,0.14773813867941502
Subject2,NK_cell,D4,4.0,8,Pattern2,0.015672464114686584
Subject2,NK_cell,D4,4.0,8,Pattern3,0.010873533309677417
Subject2,NK_cell,D4,4.0,8,Pattern4,0.46224168688058875
Subject2,NK_cell,D4,4.0,8,Pattern5,0.01473167556267183
Subject2,NK_cell,D4,4.0,8,Pattern6,8.825661810263348e-06
Subject2,NK_cell,D4,4.0,8,Pattern7,0.02246216427033679
Subject2,NK_cell,D4,4.0,8,Pattern8,9.360511967315693e-06
Subject2,NK_cell,D4,4.0,8,Pattern9,0.4450841583311559
Subject2,NK_cell,D4,4.0,8,Pattern10,0.0004670556023711378
Subject2,NK_cell,D6,6.0,8,Pattern1,0.1782604225154498
Subject2,NK_cell,D6,6.0,8,Pattern2,0.014616177111747657
Subject2,NK_cell,D6,6.0,8,Pattern3,0.023049932130106723
Subject2,NK_cell,D6,6.0,8,Pattern4,0.40220071375370026
Subject2,NK_cell,D6,6.0,8,Pattern5,0.050976520659105566
Subject2,NK_cell,D6,6.0,8,Pattern6,0.005395103484545417
Subject2,NK_cell,D6,6.0,8,Pattern7,0.06397678128769257
Subject2,NK_cell,D6,6.0,8,Pattern8,0.00012778397008616523
Subject2,NK_cell,D6,6.0,8,Pattern9,0.4288978576660156
Subject2,NK_cell,D6,6.0,8,Pattern10,0.009275721078665818
Subject2,NK_cell,D8,8.0,3,Pattern1,0.06812960670841062
Subject2,NK_cell,D8,8.0,3,Pattern2,0.013877319871729294
Subject2,NK_cell,D8,8.0,3,Pattern3,0.019784152977081228
Subject2,NK_cell,D8,8.0,3,Pattern4,0.32546536624431593
Subject2,NK_cell,D8,8.0,3,Pattern5,0.21943755470764859
Subject2,NK_cell,D8,8.0,3,Pattern6,1.5158323852422965e-06
Subject2,NK_cell,D8,8.0,3,Pattern7,0.08679852634668343
Subject2,NK_cell,D8,8.0,3,Pattern8,0.0005117792170494667
Subject2,NK_cell,D8,8.0,3,Pattern9,0.56573752562205
Subject2,NK_cell,D8,8.0,3,Pattern10,0.012493833860692867
Subject2,Neutrophil,D0,0.0,2,Pattern1,0.02109213604126125
Subject2,Neutrophil,D0,0.0,2,Pattern2,0.0011578339390325657
Subject2,Neutrophil,D0,0.0,2,Pattern3,1.80662664206466e-05
Subject2,Neutrophil,D0,0.0,2,Pattern4,0.00057187431957565
Subject2,Neutrophil,D0,0.0,2,Pattern5,0.03550280816853045
Subject2,Neutrophil,D0,0.0,2,Pattern6,0.00019081576283494522
Subject2,Neutrophil,D0,0.0,2,Pattern7,0.02375393453985455
Subject2,Neutrophil,D0,0.0,2,Pattern8,0.0135074784047901
Subject2,Neutrophil,D0,0.0,2,Pattern9,0.00033545107726240487
Subject2,Neutrophil,D0,0.0,2,Pattern10,0.00095940145547495
Subject2,Neutrophil,D10,10.0,13,Pattern1,0.01058692797461769
Subject2,Neutrophil,D10,10.0,13,Pattern2,0.014322749401869173
Subject2,Neutrophil,D10,10.0,13,Pattern3,0.0076405499962985636
Subject2,Neutrophil,D10,10.0,13,Pattern4,0.015271769487681065
Subject2,Neutrophil,D10,10.0,13,Pattern5,0.024723788204517823
Subject2,Neutrophil,D10,10.0,13,Pattern6,0.004166692215781357
Subject2,Neutrophil,D10,10.0,13,Pattern7,0.044718511914162755
Subject2,Neutrophil,D10,10.0,13,Pattern8,0.015684808536696855
Subject2,Neutrophil,D10,10.0,13,Pattern9,0.008289749106132534
Subject2,Neutrophil,D10,10.0,13,Pattern10,0.00918673353323983
Subject2,Neutrophil,D2,2.0,3,Pattern1,0.0009958802996455102
Subject2,Neutrophil,D2,2.0,3,Pattern2,0.0103494522142379
Subject2,Neutrophil,D2,2.0,3,Pattern3,0.003787306588928152
Subject2,Neutrophil,D2,2.0,3,Pattern4,0.006817820947617233
Subject2,Neutrophil,D2,2.0,3,Pattern5,0.05386630197366077
Subject2,Neutrophil,D2,2.0,3,Pattern6,0.003220765305741221
Subject2,Neutrophil,D2,2.0,3,Pattern7,0.029568302134672802
Subject2,Neutrophil,D2,2.0,3,Pattern8,0.007319258564772666
Subject2,Neutrophil,D2,2.0,3,Pattern9,0.0007299713027653231
Subject2,Neutrophil,D2,2.0,3,Pattern10,0.0027156657306477
Subject2,Neutrophil,D28,28.0,3,Pattern1,0.009423152965609877
Subject2,Neutrophil,D28,28.0,3,Pattern2,0.005223664291406735
Subject2,Neutrophil,D28,28.0,3,Pattern3,0.0096309188205244
Subject2,Neutrophil,D28,28.0,3,Pattern4,0.0003020833901245667
Subject2,Neutrophil,D28,28.0,3,Pattern5,0.035336218929539136
Subject2,Neutrophil,D28,28.0,3,Pattern6,0.0001430492520739701
Subject2,Neutrophil,D28,28.0,3,Pattern7,0.027430866534511236
Subject2,Neutrophil,D28,28.0,3,Pattern8,0.004538849888679859
Subject2,Neutrophil,D28,28.0,3,Pattern9,0.00028389809691966797
Subject2,Neutrophil,D28,28.0,3,Pattern10,0.008589335221889368
Subject2,Neutrophil,D4,4.0,5,Pattern1,0.0198586689890362
Subject2,Neutrophil,D4,4.0,5,Pattern2,0.0017929888948856262
Subject2,Neutrophil,D4,4.0,5,Pattern3,4.772937554661796e-05
Subject2,Neutrophil,D4,4.0,5,Pattern4,0.00751227651198858
Subject2,Neutrophil,D4,4.0,5,Pattern5,0.05490508303046228
Subject2,Neutrophil,D4,4.0,5,Pattern6,0.0004630512967196139
Subject2,Neutrophil,D4,4.0,5,Pattern7,0.045737811177968976
Subject2,Neutrophil,D4,4.0,5,Pattern8,0.01501000830903646
Subject2,Neutrophil,D4,4.0,5,Pattern9,0.008443086956685874
Subject2,Neutrophil,D4,4.0,5,Pattern10,0.00048360851869799553
Subject2,Neutrophil,D6,6.0,4,Pattern1,0.0003909392785316963
Subject2,Neutrophil,D6,6.0,4,Pattern2,0.0018537589608058594
Subject2,Neutrophil,D6,6.0,4,Pattern3,3.1376688497175564e-05
Subject2,Neutrophil,D6,6.0,4,Pattern4,0.019142924664265575
Subject2,Neutrophil,D6,6.0,4,Pattern5,0.05653961002826688
Subject2,Neutrophil,D6,6.0,4,Pattern6,0.00017363046913485377
Subject2,Neutrophil,D6,6.0,4,Pattern7,0.05217540729790925
Subject2,Neutrophil,D6,6.0,4,Pattern8,0.005985779322145376
Subject2,Neutrophil,D6,6.0,4,Pattern9,0.00027689581702358457
Subject2,Neutrophil,D6,6.0,4,Pattern10,0.00042179200136158716
Subject2,Neutrophil,D8,8.0,4,Pattern1,0.010161580671592644
Subject2,Neutrophil,D8,8.0,4,Pattern2,0.0001725041447571128
Subject2,Neutrophil,D8,8.0,4,Pattern3,4.52982691285611e-05
Subject2,Neutrophil,D8,8.0,4,Pattern4,0.02249194879550485
Subject2,Neutrophil,D8,8.0,4,Pattern5,0.05990481050685052
Subject2,Neutrophil,D8,8.0,4,Pattern6,0.0007947014324826938
Subject2,Neutrophil,D8,8.0,4,Pattern7,0.045639648396900157
Subject2,Neutrophil,D8,8.0,4,Pattern8,0.0208030715584755
Subject2,Neutrophil,D8,8.0,4,Pattern9,0.014549355586950686
Subject2,Neutrophil,D8,8.0,4,Pattern10,0.0010458118049427702
Subject2,Plasmablast,D0,0.0,1,Pattern1,0.159777268767357
Subject2,Plasmablast,D0,0.0,1,Pattern2,0.0782889276742935
Subject2,Plasmablast,D0,0.0,1,Pattern3,0.0166213735938072
Subject2,Plasmablast,D0,0.0,1,Pattern4,0.0254022516310215
Subject2,Plasmablast,D0,0.0,1,Pattern5,0.789654076099396
Subject2,Plasmablast,D0,0.0,1,Pattern6,0.0603489801287651
Subject2,Plasmablast,D0,0.0,1,Pattern7,0.0004224387230351
Subject2,Plasmablast,D0,0.0,1,Pattern8,8.7356151198037e-05
Subject2,Plasmablast,D0,0.0,1,Pattern9,0.0288689751178026
Subject2,Plasmablast,D0,0.0,1,Pattern10,0.255145698785782
Subject2,Plasmablast,D10,10.0,4,Pattern1,0.11709990166127678
Subject2,Plasmablast,D10,10.0,4,Pattern2,0.11043936225178158
Subject2,Plasmablast,D10,10.0,4,Pattern3,0.12909791991114591
Subject2,Plasmablast,D10,10.0,4,Pattern4,0.08165694713943596
Subject2,Plasmablast,D10,10.0,4,Pattern5,0.703759118914604
Subject2,Plasmablast,D10,10.0,4,Pattern6,0.02543921954929825
Subject2,Plasmablast,D10,10.0,4,Pattern7,0.002746954196766156
Subject2,Plasmablast,D10,10.0,4,Pattern8,0.004613645703102513
Subject2,Plasmablast,D10,10.0,4,Pattern9,0.02317823904741089
Subject2,Plasmablast,D10,10.0,4,Pattern10,0.41324748471379275
Subject2,Plasmablast,D14/15,14.5,3,Pattern1,0.08503351857264833
Subject2,Plasmablast,D14/15,14.5,3,Pattern2,0.0225011140476757
Subject2,Plasmablast,D14/15,14.5,3,Pattern3,0.0881803917388122
Subject2,Plasmablast,D14/15,14.5,3,Pattern4,0.09027291834354396
Subject2,Plasmablast,D14/15,14.5,3,Pattern5,0.8836144606272377
Subject2,Plasmablast,D14/15,14.5,3,Pattern6,0.05470805366834003
Subject2,Plasmablast,D14/15,14.5,3,Pattern7,0.007998128091761201
Subject2,Plasmablast,D14/15,14.5,3,Pattern8,0.037213417390982335
Subject2,Plasmablast,D14/15,14.5,3,Pattern9,0.014240621176819901
Subject2,Plasmablast,D14/15,14.5,3,Pattern10,0.3278734982013703
Subject2,Plasmablast,D2,2.0,1,Pattern1,0.211147546768188
Subject2,Plasmablast,D2,2.0,1,Pattern2,0.10719171911478
Subject2,Plasmablast,D2,2.0,1,Pattern3,8.32608129712753e-05
Subject2,Plasmablast,D2,2.0,1,Pattern4,3.66074914381898e-06
Subject2,Plasmablast,D2,2.0,1,Pattern5,0.155817598104477
Subject2,Plasmablast,D2,2.0,1,Pattern6,0.0
Subject2,Plasmablast,D2,2.0,1,Pattern7,8.61850930959918e-05
Subject2,Plasmablast,D2,2.0,1,Pattern8,0.0
Subject2,Plasmablast,D2,2.0,1,Pattern9,0.0270092394202948
Subject2,Plasmablast,D2,2.0,1,Pattern10,0.384175777435303
Subject2,Plasmablast,D4,4.0,2,Pattern1,0.13286652829265244
Subject2,Plasmablast,D4,4.0,2,Pattern2,0.09775454923510546
Subject2,Plasmablast,D4,4.0,2,Pattern3,2.018067535303205e-08
Subject2,Plasmablast,D4,4.0,2,Pattern4,0.11867355927824996
Subject2,Plasmablast,D4,4.0,2,Pattern5,0.3883141949772835
Subject2,Plasmablast,D4,4.0,2,Pattern6,2.7344717068444854e-06
Subject2,Plasmablast,D4,4.0,2,Pattern7,0.00016218255950657903
Subject2,Plasmablast,D4,4.0,2,Pattern8,0.0302624301984906
Subject2,Plasmablast,D4,4.0,2,Pattern9,0.0058910498337354
Subject2,Plasmablast,D4,4.0,2,Pattern10,0.42137071490287803
Subject2,Plasmablast,D6,6.0,3,Pattern1,0.19424430529276535
Subject2,Plasmablast,D6,6.0,3,Pattern2,0.05376019577185304
Subject2,Plasmablast,D6,6.0,3,Pattern3,0.018226424812060774
Subject2,Plasmablast,D6,6.0,3,Pattern4,0.08491917635883804
Subject2,Plasmablast,D6,6.0,3,Pattern5,0.6044834852218627
Subject2,Plasmablast,D6,6.0,3,Pattern6,0.029620537560006707
Subject2,Plasmablast,D6,6.0,3,Pattern7,0.009736597650468524
Subject2,Plasmablast,D6,6.0,3,Pattern8,0.018250747786320676
Subject2,Plasmablast,D6,6.0,3,Pattern9,0.1545109717020143
Subject2,Plasmablast,D6,6.0,3,Pattern10,0.3161853204170863
Subject2,Plasmablast,D8,8.0,2,Pattern1,0.12862741202116
Subject2,Plasmablast,D8,8.0,2,Pattern2,0.001844362466727023
Subject2,Plasmablast,D8,8.0,2,Pattern3,0.018205951455456677
Subject2,Plasmablast,D8,8.0,2,Pattern4,6.102882693426201e-06
Subject2,Plasmablast,D8,8.0,2,Pattern5,0.5454181432724
Subject2,Plasmablast,D8,8.0,2,Pattern6,0.043946504078917314
