subject,broad_cell_type,n_cells,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10,ifn_program_score,translation_program_score,mito_program_score,plasmablast_program_score
Subject2,T_cell,1170,0.2121698672116418,0.00500805079324915,0.04925237171141774,0.16087945635899376,0.08921653041045603,0.04889434327121145,0.5477015075738882,0.0016042938992135887,0.043143237253995326,0.012056376176192946,0.04831008526776251,1.8189231501830803,2.372479934496757,-0.1777257853979059
Subject2,B_cell,148,0.080555062962019,0.026588931882259893,0.034756443027983634,0.1434816183952129,0.12464718948732378,0.009376796821629153,0.056870768136675576,0.0015335900524379841,0.004491767380878771,0.7038898044139952,-0.10385300232751953,1.6884978971163085,2.685585735681895,0.07941040723173472
Subject2,Plasmablast,16,0.13750911090028237,0.06595124054115319,0.05554554418601532,0.06968558183543387,0.6307666664943098,0.031436881819515414,0.004077730432996387,0.024857521581907356,0.04524548923927793,0.362328170798719,-0.052929594318072086,1.4520569472592706,2.3482736134529114,1.3638624894618978
Subject2,Neutrophil,34,0.010369848832176383,0.007420610485764067,0.00412245015945048,0.012504039452683975,0.04118604479406392,0.0020831958263041574,0.04175868554824881,0.013196977594548902,0.006264696739194975,0.004810288221158421,-0.017845077164032844,-0.03174255610335205,0.6774823563239152,-0.03321501874456219
Subject2,NK_cell,82,0.12281359825981578,0.016329247649259842,0.12551589458483128,0.4120165271236319,0.18172937762944333,0.005357503632351051,0.05347259530810928,0.0035126986336006336,0.503296236802892,0.009285985173094218,0.391278036033235,0.9141593290063622,2.2374093818664553,-0.11325168091591781
Subject2,Monocyte,150,0.06914305388459183,0.6358288823647308,0.11658421893349273,0.10510361838786457,0.17408030814849326,0.02355934971376881,0.031521481010467096,0.10691414915992822,0.013403198596130664,0.07057283478173774,0.10429587176243457,1.0612376040179712,2.659301464589437,-0.09134113891522092
Subject3,NK_cell,640,0.0485759603711319,0.002214698807062346,0.06648650860526122,0.04197020062592482,0.07430091405148789,0.4608258760999888,0.023269133852075075,0.004599109083241116,0.6086691618431359,0.01950957701884907,0.2339038867304723,1.5107478649868649,2.595590451657772,-0.14175365147242944
Subject3,B_cell,104,0.00436999925006611,0.00033113859577869594,0.03142137529696742,0.010733460600853544,0.166520808784622,0.3108667784298842,0.007852376721568279,0.027877380801809373,0.0684051219395254,0.5809667551746736,-0.039507604803030436,1.9644452386317859,2.81222592317141,0.20724372394191912
Subject3,T_cell,510,0.08935628307525503,0.0022685583768007342,0.05944753252750312,0.019594826164696138,0.08940136373572512,0.6365552632699666,0.2772612826489921,0.004642546080751858,0.03958232502188713,0.009262881825531706,0.13416545293845378,2.0041469412500645,2.477890926361084,-0.17167477929280475
Subject3,Monocyte,315,0.020813723319519927,0.03449165624702414,0.2327404527520093,0.05829316649250612,0.22779360178422364,0.06088879631212135,0.014656723394480578,0.7193860386572187,0.034251933077560553,0.058565841090232475,0.329407604232667,1.1851670084588148,2.577671555655343,-0.17259714347155633
Subject3,Neutrophil,22,0.0014027426334243974,0.0018770213964051327,0.004447268189377748,0.0074029606133659415,0.041032477083552454,0.008125801669517686,0.04026127748213845,0.0197071988637948,0.010343267020650916,0.005539380695009533,-0.054092668222658596,0.012550408680662454,0.48899230447682435,-0.03158312291810005
Subject3,Plasmablast,9,0.04535191959055535,2.56652405520678e-06,0.04404203885714827,0.025706228943929446,0.7117444641060301,0.12361290554205565,5.957623015242199e-05,0.14959295176797435,0.08023872743878106,0.3496310727463827,-0.16753659157841325,1.7756702526897,2.289912139044867,0.8594099410374965
Subject5,T_cell,989,0.3086893783317839,0.0031712241545846986,0.035977746349432335,0.23729739342880593,0.07858672904508439,0.06783304568002901,0.416607259800012,0.0022207718151935553,0.05813995930500078,0.015119037847487592,-0.054437000967856024,1.672121024272481,2.711387695374214,-0.15661123310832573
Subject5,Monocyte,258,0.1716628842800074,0.43088519079394116,0.13527992982755765,0.07873565640428806,0.15191227561308793,0.003676932719012406,0.019858313943970064,0.26012029439615186,0.00589325309634552,0.05890771544201093,0.024192755758300283,1.1368044750154103,2.7647827417536304,-0.15184149690607723
Subject5,B_cell,168,0.06237755331618805,0.008069256397357694,0.025145502605100248,0.2116767347211144,0.08510500045929652,0.01819247089556662,0.044251229436459164,0.003457633346320143,0.006019535841453734,0.6945486558335168,-0.17666229661258448,1.670142006219534,2.9847608103070944,0.05088236724573472
Subject5,NK_cell,166,0.17606447589341065,0.009223441531435105,0.09722271660448867,0.4377923089697125,0.09780628072040372,0.021970612619368664,0.028182709438584592,0.007004052205022449,0.4694160696523017,0.021276254689182785,0.24720756095097238,0.9183546898550856,2.5400574137216587,-0.09964028791251431
Subject5,Plasmablast,8,0.13576325662870675,0.054868936336902166,0.039389543970369104,0.15873694000765676,0.6992361843585968,0.005711067482224056,0.01051734858368292,0.07573949551442638,0.032318748781641184,0.37897819653153425,-0.25047016898791,1.5240977972137688,2.125426576137544,1.0847733632723493
Subject5,Neutrophil,11,0.004472006416108328,0.006573083680698518,0.00410304308502417,0.019720172438114355,0.032829624311323795,0.003666006388481331,0.047170493413101526,0.010847900409399591,0.004728764691290857,0.005908212392321041,-0.004179569229935084,-0.05777761384374794,0.7766071588342839,-0.015555606610847218
