subject,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject3,D14/15,14.5,200,Pattern8,0.18988109512990056
Subject3,D14/15,14.5,200,Pattern9,0.2918247045965801
Subject3,D14/15,14.5,200,Pattern10,0.035616110807710995
Subject3,D2,2.0,200,Pattern1,0.05754501881194663
Subject3,D2,2.0,200,Pattern2,0.011454696781142668
Subject3,D2,2.0,200,Pattern3,0.017093506655380706
Subject3,D2,2.0,200,Pattern4,0.061446460698672184
Subject3,D2,2.0,200,Pattern5,0.10514069284607044
Subject3,D2,2.0,200,Pattern6,0.45743418613821407
Subject3,D2,2.0,200,Pattern7,0.10340255313685233
Subject3,D2,2.0,200,Pattern8,0.1251262724326915
Subject3,D2,2.0,200,Pattern9,0.24360638641574675
Subject3,D2,2.0,200,Pattern10,0.053548108690678484
Subject3,D28,28.0,200,Pattern1,0.051741718304086526
Subject3,D28,28.0,200,Pattern2,0.004807155902776394
Subject3,D28,28.0,200,Pattern3,0.024558153727396007
Subject3,D28,28.0,200,Pattern4,0.02392659465388674
Subject3,D28,28.0,200,Pattern5,0.09161589242371178
Subject3,D28,28.0,200,Pattern6,0.4249284291069034
Subject3,D28,28.0,200,Pattern7,0.0874101559467931
Subject3,D28,28.0,200,Pattern8,0.12338179741830643
Subject3,D28,28.0,200,Pattern9,0.27213307758977523
Subject3,D28,28.0,200,Pattern10,0.06991497107334958
Subject3,D4,4.0,200,Pattern1,0.05566985766248317
Subject3,D4,4.0,200,Pattern2,0.00917511123563684
Subject3,D4,4.0,200,Pattern3,0.02864801516740665
Subject3,D4,4.0,200,Pattern4,0.04082756242486129
Subject3,D4,4.0,200,Pattern5,0.1299035757587471
Subject3,D4,4.0,200,Pattern6,0.45037066585426144
Subject3,D4,4.0,200,Pattern7,0.10327320104035807
Subject3,D4,4.0,200,Pattern8,0.1316459462327377
Subject3,D4,4.0,200,Pattern9,0.28158367743472174
Subject3,D4,4.0,200,Pattern10,0.07498246800066466
Subject3,D6,6.0,200,Pattern1,0.057133756742189006
Subject3,D6,6.0,200,Pattern2,0.007684032753335537
Subject3,D6,6.0,200,Pattern3,0.02845831157159445
Subject3,D6,6.0,200,Pattern4,0.029527759997784092
Subject3,D6,6.0,200,Pattern5,0.1467178148886856
Subject3,D6,6.0,200,Pattern6,0.4275468243055365
Subject3,D6,6.0,200,Pattern7,0.10940516959159977
Subject3,D6,6.0,200,Pattern8,0.12138693446433946
Subject3,D6,6.0,200,Pattern9,0.26005042888321805
Subject3,D6,6.0,200,Pattern10,0.06793397251346503
Subject3,D8,8.0,200,Pattern1,0.046798513472402964
Subject3,D8,8.0,200,Pattern2,0.009912570219586872
Subject3,D8,8.0,200,Pattern3,0.05453293256306552
Subject3,D8,8.0,200,Pattern4,0.04422485893963466
Subject3,D8,8.0,200,Pattern5,0.1339305523304847
Subject3,D8,8.0,200,Pattern6,0.4082980804991695
Subject3,D8,8.0,200,Pattern7,0.09190024248432742
Subject3,D8,8.0,200,Pattern8,0.1671058685160864
Subject3,D8,8.0,200,Pattern9,0.30129542382255
Subject3,D8,8.0,200,Pattern10,0.06374977486426558
Subject5,D0,0.0,200,Pattern1,0.24446021713276966
Subject5,D0,0.0,200,Pattern2,0.12652689791815733
Subject5,D0,0.0,200,Pattern3,0.019130348320686233
Subject5,D0,0.0,200,Pattern4,0.17699550107715667
Subject5,D0,0.0,200,Pattern5,0.12020312227896411
Subject5,D0,0.0,200,Pattern6,0.030055644385515033
Subject5,D0,0.0,200,Pattern7,0.26057163379268644
Subject5,D0,0.0,200,Pattern8,0.06753012732482203
Subject5,D0,0.0,200,Pattern9,0.07819937725435841
Subject5,D0,0.0,200,Pattern10,0.12297478249567247
