subject,n_cells,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10,ifn_program_score,translation_program_score,mito_program_score,plasmablast_program_score
Subject2,1600,0.17697236733168242,0.06738464538362458,0.05723628542429873,0.16284703005974369,0.1095859824994706,0.03946324004940201,0.4123910321925504,0.01204723527206899,0.05960004242735151,0.08474364232073145,0.0546425806282709,1.6464613401982933,2.3851486119836567,-0.12405109257722895
Subject3,1600,0.05256884336738154,0.008446874818687047,0.09371555687127624,0.03545446142887783,0.11845552740412225,0.4202332153458187,0.10163456197206058,0.14787304564736567,0.2678677758520719,0.06209220470917594,0.1969247530717403,1.614300392110338,2.5379420859351756,-0.12753210407507917
Subject5,1600,0.2440151558708805,0.07356418855867396,0.05700492390924914,0.22795184599524712,0.09587758759550458,0.04676562639653461,0.2686647346675624,0.04486011076016745,0.08641612189812911,0.09591485461387939,-0.023930631436283423,1.4947570073410716,2.714694885164499,-0.12096786913039784
