timepoint_merged,day_merged_numeric,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
D0,0.0,0.16650443931372655,0.07567041795440746,0.026144898327170114,0.12724384158917532,0.11973453037251178,0.16477673315922617,0.2648777699652972,0.07479063077860222,0.10268932473952645,0.10930558841028731
D2,2.0,0.18361868215914628,0.05253280634764593,0.02312765970164649,0.15227994983157564,0.10948496516225252,0.17858034753515836,0.2756050331223923,0.06374719046973823,0.13523233885355174,0.06855776979020083
D4,4.0,0.1404885730867198,0.04093666829217374,0.018407793462896723,0.13466116724683216,0.09502891006753841,0.17939974503526795,0.2795350359122813,0.057006365497666946,0.12599227667416318,0.09430311909883594
D6,6.0,0.18609230324342546,0.04022289870997384,0.020891186193205628,0.1555783864069585,0.1124608870185861,0.16784309389968743,0.255130109154712,0.05044383027077809,0.13598535225705494,0.09152699882159823
D8,8.0,0.17204992175674386,0.045388390124715745,0.03243154100669441,0.13705286880686007,0.10755139210550842,0.17291931868231555,0.25890101380990926,0.07081975503461209,0.13679305591333402,0.08599776605471784
D10,10.0,0.13405989700232887,0.06001725660955875,0.21145635841556554,0.11610176863525053,0.08687566693972994,0.14982836565281457,0.22781018613677143,0.08015838642577611,0.15119859648186276,0.07345418043636696
D14/15,14.5,0.10691931969035719,0.04412393957703207,0.1931431943630612,0.1683265105065136,0.15411138853833692,0.15746414377471524,0.2902946832250804,0.08426747872715576,0.18717917027123376,0.04216782659242062
D28,28.0,0.17308384126740392,0.039496179080454066,0.028948745075957523,0.14543107360048396,0.07853651979312912,0.17975380370549549,0.23502037889268518,0.06484740727460962,0.12862039194941316,0.08202195517900376
