broad_cell_type,timepoint_merged,day_merged_numeric,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
B_cell,D0,0.0,0.060133387113497715,0.0142103027391791,0.01350125942598893,0.12049550579008719,0.13100636776840624,0.10301357340610702,0.02334828240795843,0.011236996601737296,0.00986077145345542,0.7117034874550284
B_cell,D2,2.0,0.06447115086224717,0.01671216359524782,0.015780966394611726,0.11593367911316334,0.12963479735485875,0.06693420466030818,0.043966002837392854,0.0077877795173435516,0.021216782283788257,0.6955564484784478
B_cell,D4,4.0,0.04909159875181975,0.013931019885790517,0.00651792410123368,0.10032533205669675,0.12588740268629606,0.09722770526123563,0.03615825306649397,0.00836012256689314,0.03966250249630988,0.6698088995994084
B_cell,D6,6.0,0.06144004269466925,0.018260859028722005,0.00921225130763523,0.12964844805858175,0.15267149122945978,0.09491429036216402,0.03226469372278577,0.011916865545753145,0.02252527162176921,0.6711981411351532
B_cell,D8,8.0,0.06582761965358704,0.010833408647670713,0.015024878053935875,0.14618394790048975,0.11792693162975923,0.09098426667816568,0.05905775390778464,0.008999064273068787,0.021280934685099107,0.6318487142523129
B_cell,D10,10.0,0.041712602621716575,0.008097236823709369,0.12642150817681913,0.15402875619942769,0.06503464797613699,0.04024065900298361,0.04799269389342064,0.00374733234491672,0.0014025245121940353,0.6582478848488434
B_cell,D14/15,14.5,0.026988449603164634,0.005056109931709453,0.11253689967333744,0.19990486509725133,0.12265987503680821,0.08925767705831396,0.05659287646234213,0.0035247779056928525,0.003460477862530755,0.6672271930653116
B_cell,D28,28.0,0.04797558283978783,0.009330115999553865,0.013806162064116617,0.17907814859938756,0.09717405220607134,0.09701045232693721,0.03560201986637474,0.009711739351044,0.035185353693896575,0.6467376761138439
Monocyte,D0,0.0,0.09618229715548575,0.38219566698156354,0.040689656447297294,0.0648946362643936,0.20318705425858302,0.0336118028571403,0.015855331683958824,0.38779371935928464,0.01134993307368758,0.06261297140744143
Monocyte,D2,2.0,0.12477936891344978,0.32575168194827797,0.05436508540330056,0.07049861265150555,0.1914652090630543,0.03425992729476516,0.02468083381183115,0.4180676989911918,0.013567699342842885,0.06155017231555555
Monocyte,D4,4.0,0.08578880653628376,0.2963273389160766,0.05406622136214175,0.07283629141177522,0.23034524871334838,0.035851658622040046,0.018249947510373628,0.4390997614447506,0.029375948894601094,0.07946918090186017
Monocyte,D6,6.0,0.08887960563835651,0.31893133228963144,0.048001452273263925,0.06287959824833644,0.2100124819734841,0.0462743983110947,0.026741003963262067,0.4303882079676029,0.030196769385034905,0.066514744032518
Monocyte,D8,8.0,0.04959720702784538,0.27851584893589504,0.09390764680072956,0.09192563516649872,0.18908970257482915,0.028696215749750564,0.03330952034658969,0.4503359417622877,0.011333321219343485,0.06319698445977777
Monocyte,D10,10.0,0.08187850352878541,0.2923806377807659,0.42099224674141306,0.05127426647038189,0.15378611378944768,0.01986678985571735,0.010821557956388814,0.39978634820789355,0.0258738126520496,0.05201243775601865
Monocyte,D14/15,14.5,0.026024261322230704,0.2441383124581221,0.4454995756878436,0.12662482253477994,0.16757205795607197,0.020866266698715153,0.01608019419677986,0.4754058984153479,0.01608832538552628,0.03336466121289809
Monocyte,D28,28.0,0.1375397563848681,0.26192850727043715,0.0744645160471042,0.05832517850846271,0.19669115760872882,0.0539407481143606,0.020757304545317982,0.44111118043761655,0.026212720515222346,0.08421131895070093
NK_cell,D0,0.0,0.1167519502735065,0.0077477925118649505,0.018687652121693002,0.16110417616850467,0.07706721857447589,0.3193719674648014,0.03845512237657609,0.0044563324110682015,0.5127419498325749,0.02535216596561699
NK_cell,D2,2.0,0.11240748832238918,0.007504887219002929,0.013126362749215303,0.17382618847942338,0.04322603169407485,0.30089869203782893,0.023529030312621144,0.004056299164343057,0.5438551583279998,0.02305271930219024
NK_cell,D4,4.0,0.0816128563910064,0.004872553559321271,0.01354843277230158,0.13457283597089334,0.05955394649834669,0.36568081642193,0.023616193872272203,0.006673715033033917,0.5755460683292556,0.019418348205256633
