pattern,rank,gene,weight
Pattern3,44,S100A6,1.2170958518981934
Pattern3,45,OAZ1,1.2054802179336548
Pattern3,46,OAS3,1.19400954246521
Pattern3,47,OASL,1.1857649087905884
Pattern3,48,GBP4,1.1172231435775757
Pattern3,49,S100A11,1.1156764030456543
Pattern3,50,CORO1A,1.1061962842941284
Pattern4,1,TNFAIP3,4.199800968170166
Pattern4,2,H3F3B,4.120693683624268
Pattern4,3,FTH1,3.8977370262145996
Pattern4,4,MALAT1,3.653017997741699
Pattern4,5,NFKBIA,3.545271873474121
Pattern4,6,SRGN,3.4077348709106445
Pattern4,7,ZFP36,3.4040303230285645
Pattern4,8,PTMA,3.307039737701416
Pattern4,9,NR4A2,3.038048267364502
Pattern4,10,MYADM,3.014620780944824
Pattern4,11,MT-CO1,2.9613840579986572
Pattern4,12,EEF1A1,2.9573593139648438
Pattern4,13,REL,2.910078763961792
Pattern4,14,TSC22D3,2.8608882427215576
Pattern4,15,CREM,2.7961537837982178
Pattern4,16,JUNB,2.768751621246338
Pattern4,17,KDM6B,2.7516331672668457
Pattern4,18,MCL1,2.740516185760498
Pattern4,19,HLA-B,2.7281854152679443
Pattern4,20,B2M,2.717669725418091
Pattern4,21,RPS12,2.5555999279022217
Pattern4,22,CD69,2.481053113937378
Pattern4,23,HLA-A,2.395278215408325
Pattern4,24,DUSP2,2.367774486541748
Pattern4,25,CXCR4,2.272425651550293
Pattern4,26,MT-ATP6,2.270115852355957
Pattern4,27,FOSB,2.2199931144714355
Pattern4,28,DUSP1,2.202284097671509
Pattern4,29,UBB,2.1506173610687256
Pattern4,30,UBC,2.11151385307312
Pattern4,31,KLF6,2.0922884941101074
Pattern4,32,MT-CO2,2.061411142349243
Pattern4,33,MT-ND3,2.0328383445739746
Pattern4,34,AC090498.1,2.008821964263916
Pattern4,35,ZFP36L2,2.006161689758301
Pattern4,36,RPS8,2.0024166107177734
Pattern4,37,MT-CO3,1.9940365552902222
Pattern4,38,JUND,1.9825329780578613
Pattern4,39,MT-CYB,1.9737521409988403
Pattern4,40,FOS,1.9651635885238647
Pattern4,41,ADGRE5,1.9460663795471191
Pattern4,42,DNAJA1,1.9307199716567993
Pattern4,43,PNRC1,1.906245231628418
Pattern4,44,MT-ND4L,1.8726110458374023
Pattern4,45,MTRNR2L12,1.868786334991455
Pattern4,46,SELK,1.8568817377090454
Pattern4,47,SQSTM1,1.7931756973266602
Pattern4,48,PPP1R15A,1.7909547090530396
Pattern4,49,TUBA4A,1.7346969842910767
Pattern4,50,ACTB,1.7233304977416992
Pattern5,1,ACTG1,0.9892614483833313
Pattern5,2,GAPDH,0.7297285795211792
Pattern5,3,LDHB,0.7293009161949158
Pattern5,4,ARPC1B,0.6716765761375427
Pattern5,5,COX5A,0.6606364250183105
Pattern5,6,C1QBP,0.6551884412765503
Pattern5,7,NAP1L1,0.6344110369682312
Pattern5,8,ATP5G3,0.6302248239517212
Pattern5,9,PPIB,0.6293807625770569
Pattern5,10,H2AFY,0.6123055219650269
Pattern5,11,COX8A,0.6105762720108032
Pattern5,12,SET,0.5990038514137268
Pattern5,13,TXN,0.5973109006881714
Pattern5,14,IDH2,0.5944088697433472
Pattern5,15,UCP2,0.5935029983520508
Pattern5,16,OSTC,0.593440592288971
Pattern5,17,MIF,0.5925677418708801
Pattern5,18,CLIC1,0.5839449167251587
Pattern5,19,MZT2B,0.5827987194061279
Pattern5,20,PPM1G,0.5715959072113037
Pattern5,21,PDIA6,0.5697107911109924
Pattern5,22,DUT,0.5684722661972046
Pattern5,23,SNX3,0.567800760269165
Pattern5,24,NDUFB3,0.5657851696014404
Pattern5,25,GNG5,0.5655217170715332
Pattern5,26,MZT2A,0.5637787580490112
Pattern5,27,AP2S1,0.5604296326637268
Pattern5,28,FKBP1A,0.5602567195892334
Pattern5,29,SLC25A39,0.5566651225090027
Pattern5,30,NHP2,0.5557740330696106
Pattern5,31,ARPC3,0.5532801747322083
Pattern5,32,RANBP1,0.5530935525894165
Pattern5,33,SNRPE,0.5496487617492676
Pattern5,34,DDOST,0.5480236411094666
Pattern5,35,NUTF2,0.5466994643211365
Pattern5,36,HNRNPUL1,0.5452176332473755
Pattern5,37,ATP5J2,0.5448846220970154
Pattern5,38,LSP1,0.5432156920433044
Pattern5,39,FDPS,0.5428168177604675
Pattern5,40,SEC61G,0.541668713092804
Pattern5,41,RALA,0.5413339138031006
Pattern5,42,CORO1A,0.5370641350746155
Pattern5,43,CAT,0.5343183279037476
Pattern5,44,TALDO1,0.533903956413269
Pattern5,45,PDCD5,0.5330256223678589
Pattern5,46,PPA1,0.5322932004928589
Pattern5,47,DECR1,0.531840980052948
Pattern5,48,MRPL52,0.5315898060798645
Pattern5,49,SNRPD1,0.5309693217277527
Pattern5,50,SLC25A5,0.5298725962638855
Pattern6,1,EEF1A1,4.6819844245910645
Pattern6,2,MTRNR2L8,4.4147868156433105
Pattern6,3,RPS12,4.249908924102783
Pattern6,4,CD52,4.0300703048706055
Pattern6,5,B2M,3.9707655906677246
Pattern6,6,MALAT1,3.918644905090332
Pattern6,7,ACTB,3.7300562858581543
Pattern6,8,TMSB4X,3.6742496490478516
Pattern6,9,RPS8,3.6676018238067627
Pattern6,10,HLA-B,3.6004903316497803
Pattern6,11,MT-ATP6,3.490354299545288
Pattern6,12,JUNB,3.424262762069702
Pattern6,13,HLA-A,3.4017574787139893
Pattern6,14,TMSB10,3.361701250076294
Pattern6,15,MT-CO2,3.3476386070251465
Pattern6,16,RPLP0,3.265643835067749
Pattern6,17,RPS2,3.2282235622406006
Pattern6,18,MT-CO1,3.20061993598938
