pattern,timepoint_merged,day_merged_numeric,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern3,D0,0.0,3,3,600,0.0261448983271701,0.0094285082024948,0.0224414983911698,0.0191303483206862,0.0368628482696542,0.0054435517487669,600,0.0261448983271701,0.0055683078244328
Pattern3,D2,2.0,3,3,600,0.0231276597016464,0.0052371472382479,0.0257991078755809,0.0170935066553807,0.0264903645739777,0.0030236683677881,600,0.0231276597016464,0.0017393995658494
Pattern3,D4,4.0,3,3,600,0.0184077934628967,0.0088703571819717,0.0134790751852642,0.0130962900360192,0.0286480151674066,0.0051213031068195,600,0.0184077934628967,0.0004142016987315
Pattern3,D6,6.0,3,3,600,0.0208911861932056,0.0075907443781474,0.020938205750248,0.0132770412577743,0.0284583115715944,0.004382518310073,600,0.0208911861932056,0.001463120279368
Pattern3,D8,8.0,3,3,600,0.0324315410066944,0.0192812716926709,0.0237076040343518,0.0190540864226658,0.0545329325630655,0.0111320474020818,600,0.0324315410066944,0.0087048904970287
Pattern3,D10,10.0,3,3,600,0.2114563584155655,0.085865842799843,0.1636822683282844,0.1601026552108226,0.3105841517075896,0.0495746674546835,600,0.2114563584155655,0.1805316284298895
Pattern3,D14/15,14.5,3,3,600,0.1931431943630612,0.0682108239249455,0.1888308330220752,0.1271908648805014,0.263407885186607,0.0393815375547134,600,0.1931431943630612,0.1552613005042075
Pattern3,D28,28.0,3,3,600,0.0289487450759575,0.0190492283082511,0.024558153727396,0.0124781593125099,0.0498099221879665,0.0109980770916234,600,0.0289487450759575,0.0089106634259223
